employee_id,salary,bonus_percentage
EMP_00001,6993.43,7.58
EMP_00002,5723.47,8.72
EMP_00003,7295.38,7.93
EMP_00004,9046.06,5.27
EMP_00005,5531.69,10.95
EMP_00006,5531.73,2.98
EMP_00007,9158.43,3.72
EMP_00008,7534.87,13.05
EMP_00009,5061.05,3.14
EMP_00010,7085.12,3.24
EMP_00011,5073.16,12.14
EMP_00012,5068.54,9.88
EMP_00013,6483.92,8.82
EMP_00014,2173.44,8.79
EMP_00015,2550.16,8.24
EMP_00016,4875.42,13.34
EMP_00017,3974.34,4.88
EMP_00018,6628.49,22.82
EMP_00019,4183.95,4.0
EMP_00020,3175.39,5.97
EMP_00021,8931.3,14.87
EMP_00022,5548.45,14.19
EMP_00023,6135.06,0.09
EMP_00024,3150.5,6.09
EMP_00025,4911.23,16.72
EMP_00026,6221.85,18.68
EMP_00027,3698.01,9.22
EMP_00028,6751.4,9.16
EMP_00029,4798.72,4.35
EMP_00030,5416.61,20.57
EMP_00031,4796.59,8.12
EMP_00032,9704.56,9.25
EMP_00033,5973.01,15.22
EMP_00034,3884.58,9.97
EMP_00035,7645.09,9.84
EMP_00036,3558.31,1.74
EMP_00037,6417.73,14.66
EMP_00038,2080.66,5.86
EMP_00039,3343.63,3.0
EMP_00040,6393.72,6.38
EMP_00041,7476.93,7.33
EMP_00042,6342.74,11.05
EMP_00043,5768.7,7.1
EMP_00044,5397.79,1.55
EMP_00045,3042.96,13.25
EMP_00046,4560.31,5.08
EMP_00047,5078.72,1.14
EMP_00048,8114.24,8.14
EMP_00049,6687.24,8.05
EMP_00050,2473.92,3.3
EMP_00051,6648.17,3.45
EMP_00052,5229.84,4.61
EMP_00053,4646.16,8.62
EMP_00054,7223.35,11.96
EMP_00055,8062.0,12.21
EMP_00056,7862.56,17.69
EMP_00057,4321.56,0.0
EMP_00058,5381.58,6.62
EMP_00059,6662.53,11.14
EMP_00060,7951.09,2.48
EMP_00061,5041.65,10.59
EMP_00062,5628.68,12.39
EMP_00063,3787.33,10.29
EMP_00064,3607.59,9.19
EMP_00065,7625.05,15.94
EMP_00066,8712.48,8.66
EMP_00067,5855.98,10.37
EMP_00068,8007.07,10.94
EMP_00069,6723.27,12.12
EMP_00070,4709.76,12.98
EMP_00071,6722.79,2.0
EMP_00072,9076.07,4.9
EMP_00073,5928.35,4.91
EMP_00074,9129.29,10.22
EMP_00075,1500.0,2.26
EMP_00076,7643.81,8.1
EMP_00077,6174.09,5.54
EMP_00078,5401.99,4.95
EMP_00079,6183.52,10.13
EMP_00080,2024.86,4.2
EMP_00081,5560.66,9.63
EMP_00082,6714.23,3.9
EMP_00083,8955.79,15.73
EMP_00084,4963.46,8.35
EMP_00085,4383.01,9.01
EMP_00086,4996.49,16.97
EMP_00087,7830.8,13.13
EMP_00088,6657.5,16.08
EMP_00089,4940.48,10.11
EMP_00090,7026.53,10.94
EMP_00091,6194.16,7.14
EMP_00092,7937.29,4.5
EMP_00093,4595.89,10.01
EMP_00094,5344.68,12.82
EMP_00095,5215.78,11.74
EMP_00096,3072.97,13.71
EMP_00097,6592.24,7.5
EMP_00098,6522.11,7.85
EMP_00099,6010.23,6.49
EMP_00100,5530.83,7.98
EMP_00101,3169.26,14.16
EMP_00102,5158.71,12.56
EMP_00103,5314.57,8.63
EMP_00104,4395.45,4.29
EMP_00105,5677.43,9.05
EMP_00106,6808.1,5.08
EMP_00107,9772.37,9.3
EMP_00108,6349.16,11.78
EMP_00109,6515.1,3.3
EMP_00110,5851.11,13.21
EMP_00111,2162.46,10.14
EMP_00112,5946.97,4.91
