employee_id,hire_date,termination_date,is_active,tenure_years,last_promotion_date,last_training_date
EMP_00001,2022-02-26,,True,3.84,,2024-07-04
EMP_00002,2023-03-04,,True,2.83,2024-07-21,2024-02-01
EMP_00003,2010-09-01,,True,15.33,2014-10-18,2024-01-11
EMP_00004,2020-02-26,,True,5.85,,2025-01-05
EMP_00005,2011-06-22,,True,14.53,,2025-01-19
EMP_00006,2019-06-29,,True,6.51,,2024-01-05
EMP_00007,2021-12-20,,True,4.03,2024-02-25,2024-08-11
EMP_00008,2015-01-10,,True,10.97,2017-01-27,2023-09-03
EMP_00009,2020-07-24,2021-08-16,False,1.06,2024-05-23,
EMP_00010,2020-05-24,,True,5.6,,2024-12-15
EMP_00011,2024-04-06,,True,1.74,,2024-10-05
EMP_00012,2014-08-05,,True,11.41,,2023-10-09
EMP_00013,2011-08-25,,True,14.35,,
EMP_00014,2019-08-14,2019-10-27,False,0.2,2023-02-18,
EMP_00015,2022-09-04,,True,3.32,,2024-07-02
EMP_00016,2021-01-18,,True,4.95,,2025-02-04
EMP_00017,2012-12-09,,True,13.06,2017-07-08,2023-10-29
EMP_00018,2014-06-24,,True,11.52,,
EMP_00019,2010-09-29,,True,15.26,2015-03-25,2024-06-28
EMP_00020,2020-10-17,,True,5.2,2023-09-06,2024-02-22
EMP_00021,2021-02-16,,True,4.87,2024-04-04,2024-07-09
EMP_00022,2014-02-15,,True,11.87,2024-08-17,2025-05-21
EMP_00023,2022-02-05,,True,3.9,2023-11-02,
EMP_00024,2014-12-17,,True,11.04,,
EMP_00025,2010-07-12,2011-01-01,False,0.47,,2025-06-03
EMP_00026,2011-05-23,2011-10-29,False,0.44,,2024-03-23
EMP_00027,2013-03-07,,True,12.82,,
EMP_00028,2023-12-18,,True,2.04,2025-05-07,2025-02-06
EMP_00029,2019-08-24,,True,6.35,2024-03-02,
EMP_00030,2020-12-13,,True,5.05,,2025-05-28
EMP_00031,2019-09-11,,True,6.31,,2023-07-08
EMP_00032,2022-07-04,,True,3.49,,2024-03-04
EMP_00033,2014-07-17,,True,11.46,,
EMP_00034,2015-11-06,,True,10.15,2019-05-27,
EMP_00035,2022-05-29,,True,3.59,,
EMP_00036,2021-08-04,,True,4.41,,2024-12-03
EMP_00037,2020-05-31,,True,5.59,,2024-12-03
EMP_00038,2020-06-30,,True,5.5,,
EMP_00039,2015-02-09,,True,10.89,2021-03-11,2024-01-07
EMP_00040,2020-10-19,,True,5.2,,2024-05-10
EMP_00041,2018-02-21,,True,7.86,2023-04-17,
EMP_00042,2021-07-14,,True,4.47,2024-01-11,2025-06-28
EMP_00043,2012-04-26,,True,13.68,,2024-02-25
EMP_00044,2012-08-16,,True,13.37,,2024-01-04
EMP_00045,2017-12-13,,True,8.05,2020-11-12,2024-06-28
EMP_00046,2024-03-10,,True,1.81,,2023-12-09
EMP_00047,2013-01-02,2025-05-26,False,12.39,2024-05-15,
EMP_00048,2018-06-19,,True,7.53,2021-12-04,2025-02-16
EMP_00049,2012-11-18,,True,13.12,,2025-02-18
EMP_00050,2024-06-17,2024-07-30,False,0.12,,
EMP_00051,2017-07-16,,True,8.46,,2025-04-06
EMP_00052,2014-09-26,,True,11.26,2016-02-04,2023-10-14
EMP_00053,2015-06-15,,True,10.55,,
EMP_00054,2023-06-19,,True,2.54,2024-07-21,2025-01-02
EMP_00055,2020-10-03,,True,5.24,2024-12-07,2024-06-19
EMP_00056,2013-07-21,,True,12.45,,2025-05-30
EMP_00057,2014-11-08,,True,11.15,2023-03-15,2025-06-20
EMP_00058,2014-10-11,,True,11.22,2022-12-26,2024-06-09
EMP_00059,2021-12-30,2024-11-05,False,2.85,2023-09-27,2023-09-17
EMP_00060,2013-07-11,,True,12.47,2022-11-17,2025-04-15
EMP_00061,2020-03-29,2025-01-08,False,4.78,,2024-10-15
EMP_00062,2015-02-18,,True,10.87,2022-09-08,2024-05-07
EMP_00063,2019-09-08,,True,6.31,2023-12-16,2023-09-25
EMP_00064,2017-05-21,,True,8.61,2020-11-04,
EMP_00065,2011-09-25,2014-12-15,False,3.22,,2023-11-30
EMP_00066,2020-06-14,2023-06-29,False,3.04,2024-03-20,2024-01-31
EMP_00067,2022-10-06,,True,3.24,2023-11-23,
EMP_00068,2022-02-07,,True,3.9,,2024-06-12
EMP_00069,2021-04-11,2022-09-05,False,1.4,2023-03-04,2024-11-28
EMP_00070,2010-08-11,,True,15.39,,2024-07-08
EMP_00071,2012-04-18,,True,13.7,2014-09-20,
EMP_00072,2023-05-16,2024-05-25,False,1.03,2025-03-16,
EMP_00073,2010-02-08,2010-06-23,False,0.37,,
EMP_00074,2014-11-30,,True,11.09,,2024-02-11
EMP_00075,2012-02-10,,True,13.89,,2024-03-30
EMP_00076,2018-02-22,,True,7.85,,2024-08-12
EMP_00077,2019-02-17,,True,6.87,2024-03-03,2024-07-02
EMP_00078,2016-08-29,,True,9.34,2023-09-06,2023-11-16
EMP_00079,2023-12-24,,True,2.02,,
EMP_00080,2011-12-06,2025-02-09,False,13.18,,2024-07-18
EMP_00081,2022-10-22,,True,3.19,2024-08-17,
EMP_00082,2020-04-08,,True,5.73,2023-10-24,2023-10-21
EMP_00083,2021-07-05,,True,4.49,2023-12-26,2025-05-23
EMP_00084,2023-04-29,,True,2.67,,
EMP_00085,2013-04-25,,True,12.68,,
EMP_00086,2012-02-03,,True,13.91,,
EMP_00087,2010-12-18,,True,15.04,2018-08-27,2025-02-05
EMP_00088,2010-10-03,,True,15.24,,
EMP_00089,2019-09-26,,True,6.26,,
EMP_00090,2010-10-10,2012-01-20,False,1.28,2020-02-28,
EMP_00091,2020-01-16,,True,5.96,,2023-11-02
EMP_00092,2017-10-05,,True,8.24,,2023-12-13
EMP_00093,2014-09-15,,True,11.29,,
EMP_00094,2010-11-15,,True,15.13,,2024-03-10
EMP_00095,2011-12-26,,True,14.02,2020-04-02,2024-11-09
EMP_00096,2022-06-30,,True,3.5,2023-10-22,2024-11-27
EMP_00097,2014-07-27,,True,11.43,,2024-01-25
EMP_00098,2022-03-29,2023-07-14,False,1.29,,2024-08-02
EMP_00099,2020-12-01,2022-06-27,False,1.57,,2023-08-19
EMP_00100,2020-05-15,,True,5.63,2021-09-10,2025-04-28
EMP_00101,2018-12-05,,True,7.07,2023-02-08,2024-11-06
EMP_00102,2018-12-06,,True,7.07,,
EMP_00103,2024-03-21,,True,1.78,2025-05-22,2025-01-06
EMP_00104,2014-03-05,,True,11.82,,
EMP_00105,2014-09-23,,True,11.27,,2024-12-26
EMP_00106,2021-08-16,2024-08-19,False,3.01,,2025-01-10
EMP_00107,2018-08-30,,True,7.34,2024-12-27,2025-02-13
EMP_00108,2023-03-03,,True,2.83,,
EMP_00109,2010-08-28,,True,15.34,2023-06-28,2025-02-08
EMP_00110,2011-09-03,,True,14.33,,2024-04-16
EMP_00111,2015-01-14,,True,10.96,2018-05-30,2025-02-02
EMP_00112,2021-11-10,,True,4.14,,2023-12-19
EMP_00113,2010-08-17,,True,15.37,,2024-05-25
EMP_00114,2023-09-18,,True,2.29,,
EMP_00115,2012-01-26,,True,13.93,,2023-12-04
EMP_00116,2010-11-04,,True,15.16,2020-03-20,2024-10-17
EMP_00117,2013-08-01,,True,12.42,2020-05-20,2023-10-21
EMP_00118,2019-01-03,,True,6.99,2021-05-24,
EMP_00119,2013-09-14,,True,12.3,2018-06-29,2023-12-08
EMP_00120,2018-11-25,,True,7.1,2023-01-02,
EMP_00121,2019-01-20,,True,6.95,2021-04-15,2024-02-23
EMP_00122,2012-07-10,,True,13.48,2014-11-04,2024-03-08
EMP_00123,2024-08-19,,True,1.37,,
EMP_00124,2012-01-06,2015-10-15,False,3.77,,2023-08-13
EMP_00125,2019-04-26,,True,6.68,,
EMP_00126,2021-04-17,2022-06-24,False,1.19,2023-08-17,2024-02-24
EMP_00127,2020-07-31,,True,5.42,2024-04-20,2025-05-28
EMP_00128,2016-01-06,2019-03-13,False,3.18,2018-06-30,2023-07-01
EMP_00129,2021-03-23,2024-03-30,False,3.02,,
EMP_00130,2019-03-18,,True,6.79,,2024-04-10
EMP_00131,2017-06-23,2017-11-15,False,0.4,,
EMP_00132,2020-06-01,,True,5.58,2024-01-25,
EMP_00133,2021-06-10,,True,4.56,,2025-01-07
EMP_00134,2013-03-23,,True,12.77,2016-05-25,
EMP_00135,2015-01-02,2017-08-02,False,2.58,,2025-06-27
EMP_00136,2023-11-29,,True,2.09,2025-03-13,2023-08-02
EMP_00137,2012-07-07,,True,13.48,2014-09-23,2024-02-20
EMP_00138,2018-05-04,,True,7.66,,2023-09-09
EMP_00139,2011-04-21,2019-02-25,False,7.85,,2024-07-24
EMP_00140,2020-04-10,2022-02-13,False,1.85,2023-07-13,2024-05-23
EMP_00141,2010-11-27,2016-03-29,False,5.34,,2023-11-11
EMP_00142,2010-12-15,2024-03-10,False,13.23,,
EMP_00143,2011-04-13,2020-08-09,False,9.33,2016-07-29,2023-09-10
EMP_00144,2014-10-18,,True,11.2,2020-10-28,
EMP_00145,2011-11-18,,True,14.12,2016-12-29,2024-05-26
EMP_00146,2021-09-04,2025-06-18,False,3.79,2024-01-28,2023-10-16
EMP_00147,2014-09-18,,True,11.29,,2025-05-14
EMP_00148,2014-11-13,,True,11.13,2024-12-04,2023-12-18
EMP_00149,2018-12-02,2019-10-16,False,0.87,,
EMP_00150,2013-10-13,2020-12-25,False,7.2,,2024-08-04
EMP_00151,2024-11-24,,True,1.1,,
EMP_00152,2010-09-11,,True,15.3,,2023-12-22
EMP_00153,2021-08-27,,True,4.34,,2023-07-31
EMP_00154,2023-07-13,,True,2.47,,2023-09-19
EMP_00155,2010-01-27,,True,15.93,,2025-03-08
EMP_00156,2017-03-03,2019-09-22,False,2.55,,
EMP_00157,2016-07-31,,True,9.42,2023-01-10,
EMP_00158,2012-09-13,2019-01-09,False,6.32,2022-09-11,2023-07-22
EMP_00159,2014-06-02,,True,11.58,,
EMP_00160,2019-09-05,,True,6.32,2020-09-08,2025-04-16
EMP_00161,2013-03-24,,True,12.77,,
EMP_00162,2017-07-09,,True,8.48,2023-08-15,2024-08-13
EMP_00163,2011-11-27,,True,14.09,2025-05-14,2024-05-26
EMP_00164,2022-02-10,,True,3.89,,
EMP_00165,2019-03-31,,True,6.75,2021-04-22,
EMP_00166,2014-10-22,,True,11.19,2016-06-17,2024-10-05
EMP_00167,2023-03-17,,True,2.79,,
EMP_00168,2011-10-19,,True,14.2,,2023-09-18
EMP_00169,2022-04-01,,True,3.75,,2024-04-14
EMP_00170,2013-06-26,2014-12-30,False,1.51,2021-01-12,
EMP_00171,2016-08-16,,True,9.37,2023-07-31,2023-08-08
EMP_00172,2020-12-19,,True,5.03,2024-10-24,
EMP_00173,2022-06-29,,True,3.51,2024-01-05,
EMP_00174,2012-10-21,,True,13.19,2015-04-30,2025-01-27
EMP_00175,2017-01-29,,True,8.92,,
EMP_00176,2014-09-28,,True,11.26,2017-01-31,2023-07-18
EMP_00177,2011-09-20,2012-01-04,False,0.29,,
EMP_00178,2016-12-19,,True,9.03,,2024-11-08
EMP_00179,2010-09-26,2015-06-16,False,4.72,,2025-04-06
EMP_00180,2021-02-06,2025-04-30,False,4.23,2022-07-23,2024-09-16
EMP_00181,2017-04-10,2021-05-11,False,4.08,2024-10-25,2024-07-02
EMP_00182,2013-12-03,2019-04-02,False,5.33,,2024-07-24
EMP_00183,2010-02-24,,True,15.85,2016-12-30,
EMP_00184,2020-08-31,,True,5.33,2023-06-05,2024-01-27
EMP_00185,2019-12-12,,True,6.05,2023-03-01,2025-01-21
EMP_00186,2016-09-23,2019-08-07,False,2.87,2024-12-18,2023-09-11
EMP_00187,2013-10-24,,True,12.19,2018-05-11,
EMP_00188,2022-07-22,,True,3.44,,2024-05-29
EMP_00189,2015-12-04,,True,10.08,,2023-12-10
EMP_00190,2014-11-29,,True,11.09,2022-11-16,2023-09-26
EMP_00191,2016-05-30,,True,9.59,,2025-03-04
EMP_00192,2018-04-06,,True,7.74,,2023-07-09
EMP_00193,2011-04-12,,True,14.72,2017-01-21,2023-12-07
EMP_00194,2016-11-17,,True,9.12,,2025-05-31
EMP_00195,2021-07-05,,True,4.49,2024-06-18,2024-06-17
EMP_00196,2011-07-19,,True,14.45,,2025-03-14
EMP_00197,2019-08-01,2020-08-08,False,1.02,,
EMP_00198,2016-08-27,,True,9.34,2019-06-04,2024-11-12
EMP_00199,2017-10-09,,True,8.23,2024-11-11,2024-03-24
EMP_00200,2024-12-19,2025-04-22,False,0.34,,2025-01-05
EMP_00201,2021-08-26,,True,4.35,,2025-03-12
EMP_00202,2016-09-03,2019-09-23,False,3.05,,2024-05-26
EMP_00203,2014-11-30,,True,11.09,,2024-05-21
EMP_00204,2018-06-02,,True,7.58,2022-10-10,
EMP_00205,2021-04-21,,True,4.7,,
EMP_00206,2018-02-27,2024-04-02,False,6.09,2020-08-30,2025-04-01
EMP_00207,2012-04-11,,True,13.72,2015-09-04,2024-04-24
EMP_00208,2010-10-09,,True,15.23,,2024-03-06
EMP_00209,2018-11-22,,True,7.11,2023-01-19,
EMP_00210,2020-01-06,,True,5.98,,
EMP_00211,2019-12-07,2025-06-24,False,5.55,,2025-01-27
EMP_00212,2010-05-19,2014-09-26,False,4.36,2017-04-19,2024-07-24
EMP_00213,2022-06-15,,True,3.55,,2024-05-18
EMP_00214,2013-06-04,,True,12.57,2024-08-09,2025-01-03
EMP_00215,2016-07-25,2023-11-15,False,7.31,,2023-11-15
EMP_00216,2011-06-15,,True,14.55,2021-12-13,2025-05-18
EMP_00217,2014-09-30,,True,11.25,,2023-11-12
EMP_00218,2013-08-28,,True,12.34,2018-05-25,
EMP_00219,2020-02-20,2021-04-21,False,1.17,,2024-06-07
EMP_00220,2010-04-19,,True,15.7,,2025-04-10
EMP_00221,2011-12-24,,True,14.02,2022-11-20,
EMP_00222,2011-05-14,2012-02-16,False,0.76,,2023-12-08
EMP_00223,2015-10-06,,True,10.24,2016-11-13,2025-03-01
EMP_00224,2013-01-23,2015-10-12,False,2.72,2017-05-28,2025-04-12
EMP_00225,2022-12-13,,True,3.05,,
EMP_00226,2014-02-24,2024-12-13,False,10.8,,
EMP_00227,2016-01-02,,True,10.0,,
EMP_00228,2017-10-01,,True,8.25,2020-03-06,2023-08-21
EMP_00229,2023-11-10,,True,2.14,2025-02-10,
EMP_00230,2019-08-19,2025-04-26,False,5.69,,
EMP_00231,2016-08-22,,True,9.36,,2023-11-23
EMP_00232,2010-09-26,,True,15.26,,2024-02-05
EMP_00233,2010-12-03,2013-07-05,False,2.59,,
EMP_00234,2024-02-04,,True,1.91,2025-04-07,
EMP_00235,2020-06-21,,True,5.53,,2023-12-13
EMP_00236,2024-06-11,,True,1.56,2025-06-28,2024-01-28
EMP_00237,2019-08-12,,True,6.39,,2024-10-22
EMP_00238,2020-06-21,,True,5.53,2024-12-13,2024-09-30
EMP_00239,2013-04-06,2016-02-29,False,2.9,,
EMP_00240,2021-11-05,,True,4.15,,
EMP_00241,2024-08-26,2025-06-11,False,0.79,,
EMP_00242,2010-12-19,2018-02-12,False,7.15,2015-12-08,
EMP_00243,2017-01-05,2022-09-18,False,5.7,,2024-07-20
EMP_00244,2010-07-24,,True,15.44,2019-01-04,2023-08-03
EMP_00245,2019-02-12,2019-10-17,False,0.68,,2023-12-07
EMP_00246,2014-11-22,,True,11.11,2023-05-27,2024-12-19
EMP_00247,2016-08-28,,True,9.34,,2023-07-08
EMP_00248,2019-05-22,,True,6.61,,
EMP_00249,2016-06-30,,True,9.5,2025-05-11,
EMP_00250,2015-10-19,,True,10.2,2017-03-25,2023-11-09
EMP_00251,2011-07-16,,True,14.46,,2024-05-22
EMP_00252,2015-03-03,,True,10.83,2025-04-28,2023-08-18
EMP_00253,2021-09-11,,True,4.3,,
EMP_00254,2011-12-22,,True,14.03,2018-01-28,
EMP_00255,2011-01-28,,True,14.92,2016-05-28,2024-08-05
EMP_00256,2010-09-02,,True,15.33,2017-12-01,
EMP_00257,2018-09-29,,True,7.26,,2024-01-01
EMP_00258,2018-11-14,,True,7.13,,
EMP_00259,2023-10-11,,True,2.22,2025-06-27,2024-08-21
EMP_00260,2010-05-10,,True,15.64,2023-05-19,2025-03-19
EMP_00261,2020-11-17,2024-09-22,False,3.85,2022-01-12,2024-11-15
EMP_00262,2014-08-10,,True,11.39,2018-07-14,2023-07-21
EMP_00263,2022-11-18,2025-06-26,False,2.6,2024-08-15,2024-06-10
EMP_00264,2018-06-18,,True,7.54,2024-05-01,2023-09-12
EMP_00265,2023-01-21,,True,2.94,2024-12-07,2024-06-03
EMP_00266,2022-08-05,,True,3.41,2025-01-09,2024-03-19
EMP_00267,2023-04-07,,True,2.74,2025-01-26,2023-10-21
EMP_00268,2015-01-27,,True,10.93,2016-07-26,2023-10-14
