employee_id,performance_rating,compliance_status,bonus_percentage
EMP_00001,5,Compliant,7.58
EMP_00002,5,Compliant,8.72
EMP_00003,4,Compliant,7.93
EMP_00004,3,Compliant,5.27
EMP_00005,2,Compliant,10.95
EMP_00006,3,Compliant,2.98
EMP_00007,5,Compliant,3.72
EMP_00008,1,Compliant,13.05
EMP_00009,3,Compliant,3.14
EMP_00010,1,Compliant,3.24
EMP_00011,4,Compliant,12.14
EMP_00012,3,Compliant,9.88
EMP_00013,1,Compliant,8.82
EMP_00014,1,Compliant,8.79
EMP_00015,1,Compliant,8.24
EMP_00016,4,Compliant,13.34
EMP_00017,2,Compliant,4.88
EMP_00018,5,Compliant,22.82
EMP_00019,4,Compliant,4.0
EMP_00020,1,Compliant,5.97
EMP_00021,2,Compliant,14.87
EMP_00022,5,Compliant,14.19
EMP_00023,3,Compliant,0.09
EMP_00024,3,Compliant,6.09
EMP_00025,1,Compliant,16.72
EMP_00026,1,Compliant,18.68
EMP_00027,5,Compliant,9.22
EMP_00028,4,Compliant,9.16
EMP_00029,5,Compliant,4.35
EMP_00030,3,Compliant,20.57
EMP_00031,1,Compliant,8.12
EMP_00032,5,Compliant,9.25
EMP_00033,3,Compliant,15.22
EMP_00034,3,Non-Compliant,9.97
EMP_00035,2,Compliant,9.84
EMP_00036,3,Compliant,1.74
EMP_00037,1,Non-Compliant,14.66
EMP_00038,2,Compliant,5.86
EMP_00039,1,Compliant,3.0
EMP_00040,3,Compliant,6.38
EMP_00041,1,Compliant,7.33
EMP_00042,1,Compliant,11.05
EMP_00043,4,Compliant,7.1
EMP_00044,1,Compliant,1.55
EMP_00045,2,Compliant,13.25
EMP_00046,2,Compliant,5.08
EMP_00047,2,Compliant,1.14
EMP_00048,4,Compliant,8.14
EMP_00049,3,Compliant,8.05
EMP_00050,3,Compliant,3.3
EMP_00051,4,Compliant,3.45
EMP_00052,5,Compliant,4.61
EMP_00053,2,Compliant,8.62
EMP_00054,1,Compliant,11.96
EMP_00055,2,Compliant,12.21
EMP_00056,3,Compliant,17.69
EMP_00057,1,Compliant,0.0
EMP_00058,3,Compliant,6.62
EMP_00059,3,Compliant,11.14
EMP_00060,4,Compliant,2.48
EMP_00061,1,Compliant,10.59
EMP_00062,1,Compliant,12.39
EMP_00063,5,Compliant,10.29
EMP_00064,4,Compliant,9.19
EMP_00065,3,Compliant,15.94
EMP_00066,2,Compliant,8.66
EMP_00067,1,Compliant,10.37
EMP_00068,4,Compliant,10.94
EMP_00069,2,Compliant,12.12
EMP_00070,4,Compliant,12.98
EMP_00071,2,Compliant,2.0
EMP_00072,1,Compliant,4.9
EMP_00073,5,Compliant,4.91
EMP_00074,5,Compliant,10.22
EMP_00075,4,Compliant,2.26
EMP_00076,4,Compliant,8.1
EMP_00077,3,Compliant,5.54
EMP_00078,3,Compliant,4.95
EMP_00079,1,Compliant,10.13
EMP_00080,4,Compliant,4.2
EMP_00081,1,Non-Compliant,9.63
EMP_00082,3,Compliant,3.9
EMP_00083,3,Compliant,15.73
EMP_00084,2,Compliant,8.35
EMP_00085,4,Compliant,9.01
EMP_00086,4,Non-Compliant,16.97
EMP_00087,1,Compliant,13.13
EMP_00088,4,Non-Compliant,16.08
EMP_00089,4,Non-Compliant,10.11
EMP_00090,3,Compliant,10.94
EMP_00091,3,Compliant,7.14
EMP_00092,3,Compliant,4.5
EMP_00093,4,Compliant,10.01
EMP_00094,5,Compliant,12.82
EMP_00095,3,Compliant,11.74
EMP_00096,4,Compliant,13.71
EMP_00097,5,Compliant,7.5
EMP_00098,4,Non-Compliant,7.85
EMP_00099,2,Compliant,6.49
EMP_00100,3,Compliant,7.98
EMP_00101,3,Non-Compliant,14.16
EMP_00102,3,Compliant,12.56
EMP_00103,2,Compliant,8.63
EMP_00104,1,Compliant,4.29
EMP_00105,4,Compliant,9.05
EMP_00106,4,Compliant,5.08
EMP_00107,5,Compliant,9.3
EMP_00108,1,Compliant,11.78
EMP_00109,3,Compliant,3.3
EMP_00110,2,Compliant,13.21
EMP_00111,3,Non-Compliant,10.14
EMP_00112,5,Compliant,4.91
EMP_00113,4,Compliant,10.93
EMP_00114,1,Non-Compliant,0.0
EMP_00115,4,Compliant,9.67
EMP_00116,1,Compliant,11.16
EMP_00117,5,Compliant,9.65
EMP_00118,3,Compliant,9.09
EMP_00119,1,Compliant,11.03
EMP_00120,4,Compliant,5.5
EMP_00121,1,Compliant,15.5
EMP_00122,4,Compliant,8.13
EMP_00123,4,Compliant,11.15
EMP_00124,1,Compliant,8.82
EMP_00125,3,Compliant,9.61
EMP_00126,5,Compliant,8.89
EMP_00127,2,Compliant,9.12
EMP_00128,5,Compliant,8.61
EMP_00129,4,Compliant,0.0
EMP_00130,4,Compliant,10.41
EMP_00131,5,Compliant,11.4
EMP_00132,5,Compliant,13.16
EMP_00133,2,Compliant,8.57
EMP_00134,5,Compliant,6.42
EMP_00135,4,Compliant,9.74
EMP_00136,1,Compliant,10.78
EMP_00137,1,Compliant,3.76
EMP_00138,3,Compliant,5.93
EMP_00139,2,Compliant,20.95
EMP_00140,1,Compliant,10.14
EMP_00141,5,Compliant,17.8
EMP_00142,4,Compliant,11.77
EMP_00143,1,Compliant,12.69
EMP_00144,3,Compliant,8.35
EMP_00145,3,Compliant,0.0
EMP_00146,5,Compliant,6.79
EMP_00147,4,Non-Compliant,0.0
EMP_00148,4,Compliant,6.54
EMP_00149,4,Compliant,17.66
EMP_00150,2,Compliant,14.61
EMP_00151,4,Compliant,4.58
EMP_00152,1,Compliant,7.74
EMP_00153,2,Compliant,4.52
EMP_00154,2,Compliant,17.06
EMP_00155,1,Compliant,13.36
EMP_00156,5,Compliant,8.5
EMP_00157,2,Compliant,3.87
EMP_00158,1,Compliant,12.93
EMP_00159,2,Compliant,10.47
EMP_00160,2,Compliant,10.88
EMP_00161,2,Compliant,16.86
EMP_00162,3,Compliant,5.77
EMP_00163,1,Compliant,9.53
EMP_00164,5,Compliant,16.02
EMP_00165,4,Non-Compliant,8.59
EMP_00166,1,Compliant,8.65
EMP_00167,5,Compliant,7.77
EMP_00168,2,Compliant,12.2
EMP_00169,4,Compliant,9.91
EMP_00170,5,Compliant,4.75
EMP_00171,2,Compliant,6.13
EMP_00172,2,Compliant,12.2
EMP_00173,2,Compliant,8.15
EMP_00174,4,Compliant,13.39
EMP_00175,5,Compliant,10.75
EMP_00176,3,Compliant,13.67
EMP_00177,3,Compliant,11.6
EMP_00178,4,Compliant,4.24
EMP_00179,4,Compliant,9.64
EMP_00180,3,Compliant,9.59
EMP_00181,1,Compliant,12.7
EMP_00182,2,Compliant,11.99
EMP_00183,1,Compliant,6.95
EMP_00184,2,Compliant,7.34
EMP_00185,5,Compliant,4.48
EMP_00186,2,Compliant,13.61
EMP_00187,5,Compliant,10.21
EMP_00188,4,Compliant,14.93
EMP_00189,1,Compliant,18.28
EMP_00190,4,Compliant,0.0
EMP_00191,3,Non-Compliant,10.78
EMP_00192,5,Compliant,9.06
EMP_00193,3,Compliant,12.37
EMP_00194,3,Compliant,6.98
EMP_00195,4,Compliant,3.66
EMP_00196,3,Compliant,7.59
EMP_00197,4,Compliant,2.22
EMP_00198,3,Compliant,3.69
EMP_00199,1,Compliant,10.1
EMP_00200,1,Compliant,18.42
EMP_00201,5,Non-Compliant,5.22
EMP_00202,3,Compliant,4.82
EMP_00203,3,Compliant,14.44
EMP_00204,5,Non-Compliant,6.32
EMP_00205,5,Compliant,10.03
EMP_00206,5,Compliant,11.19
EMP_00207,4,Compliant,16.14
EMP_00208,4,Compliant,16.02
EMP_00209,4,Compliant,10.17
EMP_00210,5,Compliant,9.91
EMP_00211,5,Compliant,11.03
EMP_00212,5,Compliant,16.74
EMP_00213,5,Compliant,7.83
EMP_00214,3,Compliant,1.76
EMP_00215,5,Compliant,14.27
EMP_00216,4,Compliant,13.25
EMP_00217,4,Compliant,7.38
EMP_00218,4,Compliant,6.07
EMP_00219,3,Compliant,11.63
EMP_00220,5,Compliant,4.85
EMP_00221,2,Compliant,9.86
EMP_00222,1,Non-Compliant,20.33
EMP_00223,1,Compliant,11.31
EMP_00224,3,Compliant,19.84
EMP_00225,3,Compliant,8.05
EMP_00226,4,Compliant,7.82
EMP_00227,2,Compliant,19.95
EMP_00228,5,Compliant,4.84
EMP_00229,2,Compliant,15.9
EMP_00230,1,Compliant,13.46
EMP_00231,3,Compliant,7.8
EMP_00232,3,Compliant,9.39
EMP_00233,1,Compliant,13.56
EMP_00234,1,Non-Compliant,6.91
EMP_00235,2,Compliant,10.53
EMP_00236,4,Compliant,6.37
EMP_00237,3,Compliant,7.28
EMP_00238,4,Compliant,9.95
EMP_00239,5,Compliant,13.53
EMP_00240,5,Compliant,12.16
EMP_00241,5,Non-Compliant,9.38
EMP_00242,3,Compliant,14.3
EMP_00243,3,Non-Compliant,4.18
EMP_00244,3,Compliant,15.63
EMP_00245,4,Compliant,5.44
EMP_00246,1,Compliant,11.51
EMP_00247,4,Compliant,13.07
EMP_00248,2,Compliant,4.83
EMP_00249,3,Compliant,14.95
EMP_00250,1,Compliant,10.68
EMP_00251,3,Compliant,11.09
EMP_00252,1,Compliant,8.25
EMP_00253,3,Compliant,11.16
EMP_00254,1,Compliant,7.83
EMP_00255,3,Compliant,9.9
EMP_00256,2,Compliant,9.22
EMP_00257,3,Compliant,6.85
EMP_00258,4,Compliant,4.54
EMP_00259,5,Compliant,6.35
EMP_00260,5,Compliant,17.34
EMP_00261,1,Compliant,5.44
EMP_00262,5,Compliant,14.24
EMP_00263,1,Compliant,11.81
EMP_00264,3,Compliant,6.04
EMP_00265,3,Compliant,3.98
EMP_00266,5,Compliant,8.29
EMP_00267,1,Compliant,9.78
EMP_00268,4,Compliant,0.0
EMP_00269,2,Non-Compliant,5.69
EMP_00270,3,Compliant,14.19
EMP_00271,2,Compliant,4.26
EMP_00272,3,Compliant,7.5
EMP_00273,5,Compliant,9.22
EMP_00274,5,Compliant,12.44
EMP_00275,3,Compliant,4.91
EMP_00276,2,Compliant,6.76
EMP_00277,5,Compliant,10.38
EMP_00278,5,Compliant,4.44
EMP_00279,5,Compliant,16.82
EMP_00280,5,Compliant,7.95
EMP_00281,2,Compliant,15.1
EMP_00282,2,Non-Compliant,10.16
EMP_00283,3,Compliant,13.54
EMP_00284,3,Compliant,5.49
EMP_00285,4,Compliant,12.67
EMP_00286,3,Compliant,5.27
EMP_00287,5,Compliant,20.36
EMP_00288,1,Compliant,8.66
EMP_00289,5,Compliant,15.99
EMP_00290,4,Compliant,7.62
EMP_00291,4,Compliant,8.42
EMP_00292,1,Compliant,12.42
EMP_00293,2,Compliant,6.14
EMP_00294,5,Compliant,5.99
EMP_00295,5,Compliant,16.36
EMP_00296,3,Compliant,4.82
EMP_00297,1,Compliant,0.55
EMP_00298,5,Non-Compliant,11.62
EMP_00299,1,Non-Compliant,14.3
EMP_00300,1,Compliant,5.66
EMP_00301,5,Compliant,6.39
EMP_00302,1,Compliant,8.06
EMP_00303,2,Compliant,19.51
EMP_00304,4,Compliant,11.27
EMP_00305,4,Compliant,13.98
EMP_00306,1,Compliant,8.18
EMP_00307,1,Compliant,9.91
EMP_00308,1,Compliant,6.06
EMP_00309,2,Non-Compliant,4.61
EMP_00310,4,Compliant,8.71
EMP_00311,5,Non-Compliant,8.96
EMP_00312,3,Compliant,8.89
EMP_00313,2,Non-Compliant,13.75
EMP_00314,3,Compliant,6.41
EMP_00315,2,Compliant,5.23
EMP_00316,1,Compliant,15.19
EMP_00317,2,Compliant,4.4
EMP_00318,5,Compliant,2.74
EMP_00319,4,Compliant,15.84
EMP_00320,5,Compliant,10.37
EMP_00321,3,Compliant,6.26
